Fruit,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice,Year,,,,,,,,,
Plum,Fresh,1.83,per pound,0.94,0.364,pounds,0.71,2013,,,,,,,,,
Plum (prunes),Dried,4.04,per pound,1,0.187,pounds,0.76,2013,,,,,,,,,
"Plum (prune), ready-to-drink",Juice,1.16,per pint,1,8,fluid ounces,0.58,2013,,,,,,,,,
Pomegranate,Fresh,2.17,per pound,0.56,0.342,pounds,1.33,2013,,,,,,,,,
"Pomegranate, ready-to-drink",Juice,2.94,per pint,1,8,fluid ounces,1.47,2013,,,,,,,,,
Raspberries,Fresh,6.98,per pound,0.96,0.32,pounds,2.32,2013,,,,,,,,,
Raspberries,Frozen,4.45,per pound,1,0.331,pounds,1.47,2013,,,,,,,,,
Strawberries,Fresh,2.36,per pound,0.94,0.32,pounds,0.8,2013,,,,,,,,,
Strawberries,Frozen,2.38,per pound,1,0.331,pounds,0.79,2013,,,,,,,,,
Watermelon,Fresh,0.33,per pound,0.52,0.331,pounds,0.21,2013,,,,,,,,,
